stn    time           nto002d0
MER    20160206              0
MER    20160207              0
MER    20160208              0
MER    20160209              0
MER    20160210              0
MER    20160211              0
MER    20160212              0
MER    20160213              0
MER    20160214              0
MER    20160215              0
MER    20160216              0
MER    20160217              0
MER    20160218              0
MER    20160219              0
MER    20160220              0
MER    20160221              0
MER    20160222              0
MER    20160223              0
MER    20160224              0
MER    20160225              0
MER    20160226              0
MER    20160227              0
MER    20160228              0
MER    20160229              0
MER    20160301              0
MER    20160302              0
MER    20160303              0
MER    20160304              0
MER    20160305              0
MER    20160306              0
MER    20160307              0
MER    20160308              0
MER    20160309              0
MER    20160310              1
MER    20160311              0
MER    20160312              0
MER    20160313              0
MER    20160314              0
MER    20160315              0
MER    20160316              0
MER    20160317              1
MER    20160318              1
MER    20160319              1
MER    20160320              0
MER    20160321              1
MER    20160322              0
MER    20160323              0
MER    20160324              0
MER    20160325              0
MER    20160326              1
MER    20160327              0
