 

stn    time           tre200dx
RAG    19420103            0.7
RAG    19420104            1.5
RAG    19420105            7.8
RAG    19420106            6.5
RAG    19420107            0.4
RAG    19420108           -4.5
RAG    19420109           -5.8
RAG    19420110           -9.8
RAG    19420111          -10.0
RAG    19420112           -8.4
RAG    19420113           -8.7
RAG    19420114           -1.8
RAG    19420115           -1.5
RAG    19420116           -6.2
RAG    19420117           -6.7
RAG    19420118           -3.8
RAG    19420119           -4.0
RAG    19420120           -4.5
RAG    19420121          -10.0
RAG    19420122          -10.4
RAG    19420123          -10.2
RAG    19420124           -0.8
RAG    19420125            3.5
RAG    19420126            1.8
RAG    19420127            0.0
RAG    19420128            3.0
RAG    19420129            2.0
RAG    19420130            0.2
RAG    19420131            3.6
RAG    19420201           -0.1
RAG    19420202           -5.0
RAG    19420203           -5.2
RAG    19420204           -0.3
RAG    19420205           -0.2
RAG    19420206           -1.5
RAG    19420207           -2.7
RAG    19420208           -3.6
RAG    19420209           -5.1
RAG    19420210           -4.8
RAG    19420211           -2.2
RAG    19420212           -0.3
RAG    19420213            0.2
RAG    19420214            0.4
RAG    19420215           -2.1
RAG    19420216           -5.2
RAG    19420217           -4.4
RAG    19420218           -2.8
RAG    19420219           -4.2
RAG    19420220           -5.0
RAG    19420221            3.0
